Sales,Digital_Ads_Spend,TV_Commercials_Spend,Physician_Outreach_Spend,Trade_Show_Investment,Region,Campaign_Type,Ad_Format,Launch_Year
453.5,190k USD,141.64,214.76,60.58,South,Retention,Bannr,2018.0
375.72,242k USD,389.74,,75.57,South,Seasonal,Banner,2021.0
431.24,173k USD,331.35,177.94,103.88,East,Retention,Bannr,2020.0
556.2,180k USD,209.66,244.94,116.88,West,Awareness,Video,2018.0
251.51,156k USD,131.77,52.42,50.19,North,Retention,Soial Media,2019.0
140.12,56k USD,134.26,31.83,72.69,nan,Awareness,Social Media,2020.0
402.85,76k USD,457.68,125.39,54.99,Online,Seasonal,Soial Media,2022.0
202.87,57k USD,176.75,50.38,45.82,East,Retention,Social Media,2020.0
476.62,209k USD,229.35,194.64,121.84,North,Awareness,Video,2019.0
510.31,128k USD,190.66,231.2,138.2,West,Seasonal,Social Media,2025.0
341.17,177k USD,242.0,125.48,68.13,East,Retention,Video,2020.0
372.13,276k USD,127.77,86.92,117.67,nan,Seasonal,Bannr,2019.0
373.23,112k USD,307.62,125.57,136.61,North,Awareness,nan,2025.0
481.84,152k USD,127.05,189.16,130.0,East,Retention,Search,2018.0
295.44,238k USD,420.14,31.99,43.77,North,Retention,Social Media,2025.0
422.78,107k USD,193.48,159.68,144.32,North,Retention,Video,2021.0
364.47,69k USD,316.0,164.92,68.97,West,Seasonal,Soial Media,2022.0
448.52,122k USD,452.03,170.29,64.1,Online,Seasonal,Video,2025.0
274.7,90k USD,360.35,83.24,28.12,West,Awareness,Soial Media,2021.0
471.8,282k USD,313.18,187.09,83.2,North,Acquisition,Social Media,2021.0
272.61,252k USD,229.73,50.11,34.17,East,Retention,Banner,2021.0
338.6,208k USD,233.2,73.84,52.31,nan,Retention,Soial Media,2025.0
552.26,267k USD,367.79,223.04,61.2,West,Awareness,Video,2019.0
548.43,250k USD,497.66,192.52,125.15,Online,Retention,Social Media,
244.14,96k USD,364.74,33.02,133.81,North,Seasonal,Video,2019.0
344.39,273k USD,323.11,84.64,59.32,nan,Seasonal,Banner,2022.0
345.84,184k USD,392.26,77.17,131.63,West,Retention,Search,2019.0
357.42,251k USD,286.08,89.58,131.44,West,Retention,nan,2023.0
373.13,274k USD,124.06,84.46,119.4,West,Seasonal,nan,2019.0
243.98,129k USD,324.92,43.76,39.07,West,Retention,Banner,2019.0
436.52,77k USD,483.05,130.97,109.74,nan,Seasonal,Bannr,2019.0
422.02,106k USD,170.12,191.2,142.85,East,Acquisition,Social Media,2018.0
449.28,156k USD,376.0,163.48,108.73,Online,Acquisition,Banner,2022.0
411.5,,180.37,178.03,,Online,Retention,Search,2023.0
315.51,265k USD,314.33,47.85,85.08,North,Retention,Video,2019.0
443.55,51k USD,138.67,239.33,103.94,South,Retention,Social Media,
478.8,177k USD,280.15,214.47,86.37,East,Seasonal,Soial Media,2022.0
463.21,154k USD,402.47,207.12,35.59,North,Acquisition,Banner,2020.0
449.06,105k USD,239.03,211.06,60.57,North,Acquisition,Search,2018.0
529.33,79k USD,365.96,,124.31,West,Awareness,Banner,2025.0
430.88,134k USD,418.18,149.74,131.98,South,Awareness,Bannr,
369.44,285k USD,470.87,74.06,37.85,South,Retention,nan,2019.0
442.09,130k USD,193.86,165.69,143.81,East,Seasonal,nan,
464.31,179k USD,259.73,193.43,62.75,South,Retention,Social Media,2023.0
453.74,225k USD,160.97,192.34,106.1,North,Acquisition,Video,2018.0
,140k USD,496.99,144.72,117.74,South,Retention,Search,2023.0
397.37,292k USD,470.8,45.06,125.55,South,Retention,Banner,2025.0
427.86,290k USD,315.98,111.64,142.95,Online,Acquisition,Social Media,2025.0
514.03,112k USD,436.81,232.57,60.68,North,Acquisition,Banner,
453.69,174k USD,308.38,158.58,131.61,nan,Acquisition,Social Media,2018.0
335.54,125k USD,349.43,148.43,37.12,South,Acquisition,nan,2020.0
293.71,121k USD,135.65,89.15,111.66,South,Awareness,Bannr,
358.05,59k USD,402.11,111.06,116.46,West,Seasonal,Banner,2022.0
486.29,202k USD,151.09,226.98,108.1,South,Seasonal,Bannr,2018.0
474.54,175k USD,430.43,176.62,52.8,South,Acquisition,Soial Media,2021.0
506.97,62k USD,412.81,203.23,133.5,Online,Seasonal,Soial Media,2025.0
348.03,119k USD,383.5,129.96,41.95,North,Seasonal,nan,2020.0
392.44,277k USD,,168.65,26.97,East,Seasonal,Search,
305.12,109k USD,221.25,84.64,113.27,North,Seasonal,Bannr,2025.0
392.87,86k USD,205.25,185.2,81.81,West,Acquisition,Social Media,2021.0
383.02,172k USD,244.05,124.07,130.38,North,Retention,Search,2020.0
316.14,296k USD,135.06,127.36,69.84,South,Retention,Banner,2025.0
456.81,110k USD,474.78,172.85,41.88,West,Retention,Banner,2021.0
561.95,218k USD,321.52,235.98,128.74,North,Awareness,Social Media,2021.0
294.75,240k USD,,44.08,91.36,West,Seasonal,Video,2025.0
432.52,109k USD,258.79,211.44,44.6,East,Acquisition,Video,
378.38,232k USD,278.88,94.32,113.65,North,Acquisition,Banner,2025.0
371.28,141k USD,340.24,127.66,86.44,nan,Awareness,nan,2023.0
275.29,208k USD,306.27,34.82,98.56,South,Acquisition,nan,2018.0
353.56,208k USD,467.76,96.23,79.92,West,Retention,Social Media,2018.0
401.58,183k USD,298.79,140.58,127.73,nan,Awareness,Video,2020.0
283.6,72k USD,496.86,42.36,127.84,nan,Acquisition,Bannr,2022.0
487.64,258k USD,440.57,138.04,112.22,Online,Awareness,Banner,2025.0
454.23,130k USD,183.4,233.96,33.7,West,Awareness,Soial Media,
306.72,96k USD,472.24,53.19,129.05,nan,Acquisition,Bannr,2023.0
352.27,60k USD,146.55,198.18,107.23,Online,Retention,Social Media,2018.0
425.19,197k USD,426.98,120.13,110.61,nan,Acquisition,Soial Media,2018.0
429.05,219k USD,252.25,174.14,67.19,South,Seasonal,Bannr,
338.26,54k USD,,87.25,134.31,East,Seasonal,Video,2023.0
376.46,178k USD,447.22,65.09,114.3,Online,Acquisition,nan,2019.0
279.04,106k USD,422.37,65.3,34.64,East,Retention,Video,2023.0
296.61,211k USD,416.01,45.51,73.01,West,Seasonal,Soial Media,
273.83,93k USD,221.87,70.84,135.23,South,Seasonal,Search,2018.0
387.35,222k USD,132.37,176.13,26.14,Online,Acquisition,nan,2022.0
498.54,146k USD,261.19,223.97,144.98,West,Acquisition,Banner,2019.0
512.01,284k USD,169.41,209.11,108.29,nan,Acquisition,Soial Media,
457.99,84k USD,377.98,180.73,102.08,North,Awareness,Social Media,
222.46,135k USD,238.44,54.3,55.17,West,Awareness,Banner,2021.0
324.9,78k USD,490.24,93.62,52.34,East,Awareness,Bannr,2023.0
455.32,281k USD,356.39,98.16,142.47,South,Acquisition,nan,2021.0
379.06,269k USD,428.99,84.99,58.78,South,Retention,Social Media,2019.0
385.28,114k USD,153.01,143.3,120.82,West,Seasonal,Social Media,2019.0
439.26,214k USD,444.81,147.82,71.11,nan,Awareness,Video,2019.0
402.04,254k USD,469.1,108.51,38.1,North,Retention,Bannr,2020.0
335.54,188k USD,294.82,107.83,21.39,East,Acquisition,Video,2023.0
489.22,182k USD,342.5,212.28,90.75,West,Awareness,Video,
547.67,110k USD,405.92,,146.85,West,Acquisition,nan,2025.0
282.9,73k USD,169.94,97.72,67.99,South,Retention,Search,2022.0
563.09,274k USD,301.03,231.03,66.44,East,Awareness,Video,2022.0
559.74,275k USD,259.47,239.62,64.73,North,Awareness,Banner,
346.43,208k USD,158.55,101.88,87.67,South,Awareness,Social Media,2021.0
,134k USD,247.01,107.97,77.29,West,Awareness,nan,
384.25,137k USD,127.27,141.24,134.39,South,Retention,Video,2021.0
485.95,231k USD,110.32,237.05,,South,Awareness,Soial Media,2025.0
509.77,274k USD,154.07,222.79,86.01,Online,Seasonal,Banner,2021.0
321.51,271k USD,485.25,52.56,37.99,South,Seasonal,Bannr,2023.0
398.25,244k USD,319.81,116.4,147.76,nan,Acquisition,Social Media,2018.0
428.01,210k USD,486.33,151.74,52.5,South,Awareness,nan,2021.0
321.02,71k USD,273.0,140.69,29.54,nan,Seasonal,Soial Media,2019.0
303.25,90k USD,224.73,72.65,106.21,East,Seasonal,nan,2021.0
524.4,274k USD,302.46,218.94,97.4,South,Seasonal,nan,2019.0
465.1,,275.8,178.93,73.97,North,Retention,Soial Media,2020.0
377.3,52k USD,142.27,214.34,74.88,nan,Awareness,Bannr,2018.0
468.97,75k USD,356.33,218.93,122.06,nan,Retention,Soial Media,2018.0
463.45,215k USD,186.42,,45.44,West,Retention,Banner,2025.0
368.96,51k USD,347.84,126.63,126.63,East,Seasonal,nan,2023.0
414.41,90k USD,360.08,164.32,104.34,South,Seasonal,Bannr,
284.76,187k USD,160.81,65.28,74.47,North,Acquisition,nan,2023.0
401.54,222k USD,124.54,178.2,79.54,West,Awareness,Soial Media,2022.0
326.38,212k USD,412.3,69.44,53.36,East,Awareness,Bannr,2020.0
439.13,106k USD,283.92,182.67,117.77,nan,Seasonal,Bannr,2025.0
339.12,228k USD,123.27,80.51,86.67,North,Seasonal,Video,2023.0
263.97,109k USD,497.95,55.86,61.71,South,Awareness,Video,2019.0
300.55,131k USD,123.11,66.36,97.49,Online,Acquisition,Video,2020.0
343.95,236k USD,378.01,30.44,149.45,Online,Seasonal,Soial Media,2018.0
483.14,212k USD,493.47,188.12,76.58,East,Acquisition,Social Media,
481.39,262k USD,195.67,191.13,139.69,North,Retention,Banner,
383.46,214k USD,156.9,143.29,,West,Seasonal,Soial Media,2019.0
224.47,192k USD,148.55,65.5,27.12,North,Retention,nan,2025.0
198.42,73k USD,221.31,48.38,46.55,nan,Seasonal,Video,2025.0
215.57,141k USD,140.42,34.21,74.43,Online,Retention,Bannr,2020.0
303.66,116k USD,376.86,66.46,48.55,East,Seasonal,Soial Media,2018.0
422.95,110k USD,124.92,225.99,20.03,South,Acquisition,Bannr,2023.0
398.33,293k USD,303.77,83.14,138.95,North,Acquisition,nan,2019.0
412.14,148k USD,498.68,107.94,129.7,Online,Acquisition,Bannr,2019.0
346.12,273k USD,425.59,53.18,116.5,West,Retention,Bannr,2018.0
281.34,207k USD,346.09,78.92,41.82,East,Acquisition,Search,2019.0
363.86,248k USD,222.5,144.23,35.65,South,Retention,Social Media,
426.36,175k USD,349.56,163.71,28.79,North,Seasonal,Banner,2023.0
374.7,194k USD,310.82,83.98,114.12,West,Retention,Banner,2023.0
316.7,173k USD,270.43,42.7,140.75,South,Seasonal,Video,2023.0
,98k USD,152.28,116.03,75.97,nan,Awareness,Search,2018.0
338.06,230k USD,454.64,81.52,35.49,Online,Awareness,Soial Media,2021.0
282.83,120k USD,279.91,78.3,86.61,nan,Awareness,Soial Media,2021.0
433.29,56k USD,177.85,241.17,65.35,Online,Retention,Banner,2025.0
419.33,211k USD,247.1,165.59,68.73,West,Awareness,Social Media,2025.0
364.28,94k USD,,152.51,100.77,nan,Awareness,Bannr,
471.06,285k USD,431.02,121.47,113.43,Online,Awareness,nan,2019.0
418.53,288k USD,393.45,124.37,34.38,East,Seasonal,Video,2023.0
422.03,278k USD,407.72,149.0,24.63,West,Acquisition,Social Media,2019.0
443.4,142k USD,104.41,183.21,149.26,Online,Retention,Banner,2018.0
398.84,53k USD,266.46,184.47,50.25,North,Awareness,Search,2019.0
347.43,282k USD,292.54,67.77,27.0,Online,Seasonal,Video,2022.0
339.01,157k USD,107.68,140.02,44.68,nan,Acquisition,Banner,2021.0
376.47,291k USD,203.93,120.63,25.06,East,Acquisition,Soial Media,2019.0
550.76,290k USD,404.12,221.52,70.94,South,Acquisition,Video,2019.0
484.15,263k USD,154.84,168.91,124.31,South,Seasonal,Banner,2020.0
356.06,123k USD,314.12,147.15,64.36,Online,Awareness,Soial Media,
277.11,146k USD,186.08,55.39,77.74,South,Acquisition,nan,2019.0
430.92,262k USD,104.85,163.24,107.83,Online,Seasonal,Soial Media,2022.0
289.44,129k USD,196.48,55.78,86.16,East,Seasonal,Bannr,2021.0
401.0,92k USD,490.35,,131.99,South,Retention,Search,2020.0
779.1,189k USD,420.61,409.25,132.58,nan,Seasonal,Bannr,
487.13,284k USD,483.83,182.26,21.29,nan,Acquisition,Banner,2018.0
372.28,224k USD,295.14,75.38,121.15,North,Acquisition,nan,2025.0
352.72,192k USD,143.89,116.21,,Online,Seasonal,Social Media,2018.0
497.18,74k USD,319.18,227.05,148.55,South,Acquisition,nan,2021.0
329.32,203k USD,281.75,74.95,82.82,nan,Seasonal,nan,2025.0
533.52,297k USD,437.74,141.72,148.3,East,Acquisition,nan,2018.0
302.13,85k USD,139.23,122.24,118.09,East,Retention,Bannr,
267.59,179k USD,295.3,33.99,52.32,North,Awareness,Social Media,2022.0
499.45,269k USD,160.02,204.41,89.99,East,Retention,Soial Media,2019.0
357.4,235k USD,,45.19,148.98,East,Retention,Banner,2021.0
444.47,224k USD,394.94,134.34,131.48,South,Awareness,Search,2025.0
402.06,225k USD,290.41,153.35,32.66,Online,Acquisition,Social Media,2020.0
429.12,139k USD,250.36,168.25,111.83,West,Awareness,Banner,2019.0
422.45,123k USD,257.79,181.5,64.93,East,Seasonal,Social Media,2018.0
331.68,252k USD,283.78,85.72,20.91,East,Awareness,Bannr,2018.0
291.13,252k USD,414.01,32.2,72.45,West,Retention,Banner,2020.0
511.19,266k USD,456.83,189.16,50.52,East,Awareness,Bannr,2022.0
551.12,278k USD,482.13,147.84,126.45,South,Acquisition,Video,
511.37,177k USD,414.76,213.95,63.85,South,Retention,Banner,
527.54,175k USD,226.16,210.71,127.58,West,Seasonal,Social Media,2020.0
516.43,249k USD,375.25,215.53,20.08,nan,Acquisition,Video,2021.0
417.33,212k USD,275.04,136.72,60.02,East,Retention,Bannr,2020.0
341.66,225k USD,201.87,103.4,51.35,nan,Seasonal,Bannr,2018.0
522.48,248k USD,436.35,204.14,50.36,East,Acquisition,Social Media,2022.0
359.65,272k USD,115.37,129.28,28.86,Online,Seasonal,Video,2022.0
307.05,134k USD,460.7,70.36,44.33,East,Awareness,nan,2023.0
496.37,143k USD,284.59,218.09,92.22,South,Awareness,Soial Media,2020.0
443.68,73k USD,354.88,224.16,57.88,North,Seasonal,Search,2021.0
441.95,194k USD,363.74,132.59,74.26,North,Awareness,Social Media,2018.0
244.02,58k USD,458.05,46.65,68.99,North,Seasonal,Bannr,2019.0
422.43,166k USD,354.67,115.32,133.87,North,Acquisition,Banner,
551.7,185k USD,345.57,206.78,137.69,nan,Retention,Video,
444.97,121k USD,126.66,228.39,84.08,nan,Seasonal,Soial Media,
295.77,197k USD,307.36,74.76,62.92,East,Retention,Search,2022.0
202.19,57k USD,160.07,44.73,33.88,nan,Retention,Banner,
510.78,59k USD,394.97,223.02,143.94,East,Seasonal,Video,2020.0
385.0,255k USD,304.89,115.67,27.83,Online,Awareness,Soial Media,2023.0
392.49,140k USD,372.09,149.19,58.69,East,Acquisition,Social Media,2021.0
467.5,81k USD,116.67,242.97,58.75,North,Retention,Soial Media,2021.0
197.23,180k USD,133.92,44.64,61.65,West,Acquisition,Social Media,2025.0
463.8,242k USD,386.53,172.63,,West,Retention,nan,
272.83,103k USD,128.83,46.3,121.81,South,Seasonal,Video,2018.0
316.77,205k USD,128.5,112.6,,South,Awareness,Soial Media,2022.0
415.28,71k USD,104.84,206.84,102.54,East,Acquisition,Search,2018.0
335.1,62k USD,482.6,125.36,36.1,West,Retention,Soial Media,
519.31,182k USD,395.0,249.38,29.17,North,Seasonal,Video,2023.0
405.41,185k USD,241.3,152.99,138.23,nan,Seasonal,Banner,2019.0
310.71,209k USD,218.61,100.66,44.72,North,Retention,Banner,
345.02,231k USD,239.88,78.42,126.76,North,Retention,Soial Media,2019.0
445.96,293k USD,409.86,107.11,90.8,East,Retention,Soial Media,2019.0
335.53,179k USD,364.55,111.96,30.12,East,Awareness,Social Media,2021.0
266.93,130k USD,174.08,45.12,144.21,Online,Retention,Video,2022.0
340.72,248k USD,169.64,111.31,52.1,North,Retention,Social Media,
347.59,117k USD,139.36,132.13,131.75,North,Awareness,Search,2018.0
444.07,159k USD,364.12,189.0,41.95,East,Seasonal,nan,2018.0
454.53,69k USD,405.75,174.48,131.01,East,Retention,Banner,2023.0
366.39,56k USD,206.02,185.93,21.72,Online,Acquisition,Bannr,2019.0
291.12,290k USD,108.38,31.84,86.53,Online,Seasonal,Bannr,2022.0
356.71,258k USD,132.87,77.89,120.03,South,Acquisition,Video,2022.0
526.05,223k USD,487.14,175.57,141.52,West,Retention,Video,2023.0
393.36,152k USD,218.18,136.48,138.2,North,Awareness,Bannr,2020.0
264.78,93k USD,407.69,31.17,126.55,North,Awareness,Video,2022.0
467.5,89k USD,349.87,206.99,135.46,Online,Awareness,Banner,2022.0
417.03,112k USD,252.78,200.02,45.9,Online,Retention,Search,2018.0
361.94,187k USD,182.27,150.65,56.94,South,Retention,Search,2023.0
288.62,228k USD,148.55,44.62,57.57,West,Acquisition,Social Media,
484.24,215k USD,346.01,198.63,69.02,South,Awareness,Banner,2022.0
442.77,119k USD,409.85,158.42,71.13,West,Retention,nan,2022.0
545.35,288k USD,357.56,202.03,90.79,nan,Seasonal,Video,2018.0
449.6,234k USD,312.12,195.38,40.78,North,Retention,Video,
461.46,188k USD,116.78,206.66,109.86,South,Retention,nan,
393.01,202k USD,487.4,143.96,41.78,Online,Seasonal,Social Media,2022.0
308.92,154k USD,419.49,60.87,60.34,South,Awareness,Social Media,2018.0
388.93,111k USD,217.13,177.65,85.43,nan,Seasonal,Video,2020.0
455.65,138k USD,491.99,166.5,123.54,South,Awareness,Video,2021.0
546.01,239k USD,340.75,193.3,116.13,North,Seasonal,nan,2025.0
301.85,53k USD,332.97,67.37,103.92,nan,Acquisition,Banner,2018.0
293.14,79k USD,399.23,72.89,40.25,Online,Awareness,nan,2018.0
500.92,61k USD,424.71,225.89,91.12,Online,Retention,Social Media,2022.0
374.71,60k USD,362.59,195.0,31.37,East,Acquisition,nan,2018.0
494.99,263k USD,151.24,229.81,69.06,nan,Awareness,nan,2023.0
461.19,225k USD,235.31,196.92,73.76,East,Awareness,nan,2019.0
386.22,168k USD,471.23,161.37,25.18,East,Awareness,Banner,2019.0
348.67,74k USD,189.85,173.91,55.62,North,Seasonal,Soial Media,2020.0
515.28,172k USD,248.87,225.61,144.23,South,Awareness,Video,
449.62,168k USD,272.83,157.34,143.97,Online,Retention,Bannr,2018.0
435.55,93k USD,275.76,169.13,65.8,Online,Awareness,nan,
274.67,158k USD,345.18,64.42,25.6,South,Retention,Bannr,2023.0
394.91,149k USD,477.23,134.26,43.28,Online,Retention,Soial Media,2022.0
433.56,203k USD,196.28,187.61,70.99,South,Retention,Video,2022.0
371.44,208k USD,148.6,89.61,143.21,nan,Acquisition,Social Media,2025.0
201.26,61k USD,178.99,74.5,38.36,North,Retention,Bannr,2021.0
,143k USD,454.77,99.04,119.26,North,Seasonal,Social Media,2020.0
322.0,206k USD,358.32,83.13,34.13,North,Awareness,Bannr,2023.0
336.56,175k USD,214.36,77.28,147.56,South,Seasonal,Social Media,
450.25,264k USD,426.38,123.47,69.61,South,Acquisition,nan,2023.0
555.1,214k USD,444.55,229.72,120.78,West,Awareness,Bannr,2025.0
396.99,90k USD,438.61,141.55,64.54,Online,Retention,Social Media,2025.0
345.24,67k USD,467.57,71.34,101.6,Online,Awareness,Soial Media,2022.0
252.89,,200.9,46.93,44.96,West,Acquisition,Banner,
437.29,56k USD,402.02,183.15,38.98,West,Acquisition,Social Media,2021.0
420.53,196k USD,284.22,114.22,141.95,North,Seasonal,Banner,2022.0
601.06,285k USD,436.8,210.8,139.29,West,Awareness,Banner,2021.0
524.48,193k USD,391.4,175.09,135.37,South,Awareness,Video,2019.0
530.54,147k USD,410.58,205.17,101.31,East,Awareness,nan,2023.0
394.9,210k USD,362.46,89.83,,South,Seasonal,Soial Media,2025.0
402.13,164k USD,170.97,182.32,28.97,West,Acquisition,Banner,2019.0
359.92,186k USD,318.01,88.09,63.52,Online,Retention,Search,
560.07,285k USD,493.87,236.6,60.78,South,Awareness,nan,2022.0
434.59,146k USD,474.96,170.0,102.63,Online,Seasonal,Banner,2020.0
349.86,290k USD,117.27,,66.27,South,Seasonal,Social Media,2018.0
289.39,276k USD,165.93,89.29,39.31,Online,Retention,Banner,2020.0
258.77,98k USD,152.69,72.0,97.54,nan,Acquisition,Social Media,2020.0
456.21,67k USD,390.39,182.82,125.87,South,Awareness,Social Media,2018.0
295.53,75k USD,427.11,78.12,69.68,Online,Awareness,Search,2023.0
321.55,54k USD,185.4,160.97,37.19,East,Seasonal,Banner,2019.0
253.08,73k USD,302.34,88.22,45.57,North,Acquisition,Banner,2019.0
482.6,220k USD,436.28,175.63,50.87,South,Awareness,Bannr,2023.0
421.01,67k USD,393.12,209.29,58.99,East,Retention,nan,2018.0
426.76,129k USD,316.89,201.17,103.56,North,Acquisition,Bannr,2021.0
